run,host,dev,tx_bytes,rx_bytes
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,72317240604,72863502324
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,72450113672,73096848424
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-82e3,roceP2p1s0f0,72315080536,72866105036
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-82e3,rocep1s0f0,72447294284,73099617528
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-7afa,roceP2p1s0f0,39761110108,39758748132
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-7afa,rocep1s0f0,40459904400,39794962272
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-7d4c,roceP2p1s0f0,39761147836,39758730620
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-7d4c,rocep1s0f0,40459321440,39794350420
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-8277,roceP2p1s0f0,42653337976,42655904672
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-8277,rocep1s0f0,42760939428,43426060244
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-82e3,roceP2p1s0f0,42653525192,42655737680
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,edgexpert-82e3,rocep1s0f0,42760506260,43425298600
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-7afa,roceP2p1s0f0,2579172656,2556158852
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-7afa,rocep1s0f0,2598865436,2566814560
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-7d4c,roceP2p1s0f0,2578954632,2556378240
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-7d4c,rocep1s0f0,2598664168,2567033840
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-8277,roceP2p1s0f0,2587716916,2610237568
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-8277,rocep1s0f0,2599118832,2630671536
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-82e3,roceP2p1s0f0,2587443152,2610512692
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,edgexpert-82e3,rocep1s0f0,2598839944,2630968444
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-7afa,roceP2p1s0f0,1586862956,1584750276
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-7afa,rocep1s0f0,1610850372,1586086128
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-7d4c,roceP2p1s0f0,1586874984,1584738244
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-7d4c,rocep1s0f0,1610861552,1586081312
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-8277,roceP2p1s0f0,1672601356,1674720924
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-8277,rocep1s0f0,1676390212,1701157928
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-82e3,roceP2p1s0f0,1672596212,1674726068
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,edgexpert-82e3,rocep1s0f0,1676388864,1701165632
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-7afa,roceP2p1s0f0,2479938956,2479957556
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-7afa,rocep1s0f0,109806634824,109805543744
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-7d4c,roceP2p1s0f0,2479985636,2479946080
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-7d4c,rocep1s0f0,110054952216,110053874284
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-8277,roceP2p1s0f0,2475206800,2475159372
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-8277,rocep1s0f0,110144616496,110144413196
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-82e3,roceP2p1s0f0,2475131292,2475199676
p1_l70_tp4_dual_decode_in128_out1024_c1,edgexpert-82e3,rocep1s0f0,109895004728,109897377032
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-7afa,roceP2p1s0f0,227528231892,227527894924
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-7afa,rocep1s0f0,263448458408,263447782484
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-7d4c,roceP2p1s0f0,227372820088,227373471772
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-7d4c,rocep1s0f0,263364554720,263364930440
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,227335651640,227335611712
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,263370347388,263370384216
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-82e3,roceP2p1s0f0,227490686544,227490411760
p1_l70_tp4_dual_decode_in128_out1024_c32,edgexpert-82e3,rocep1s0f0,263453611980,263453875356
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-7afa,roceP2p1s0f0,146649654480,146649777860
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-7afa,rocep1s0f0,182594539764,182594333552
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-7d4c,roceP2p1s0f0,146499284920,146499214176
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-7d4c,rocep1s0f0,182510926464,182510524212
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-8277,roceP2p1s0f0,146722463548,146722438560
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-8277,rocep1s0f0,182763717024,182763662464
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-82e3,roceP2p1s0f0,146872931504,146872903852
p1_l70_tp4_dual_decode_in128_out1024_c8,edgexpert-82e3,rocep1s0f0,182847069548,182847732580
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-7afa,roceP2p1s0f0,6185014324,6184177012
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-7afa,rocep1s0f0,9466015172,9465279048
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-7d4c,roceP2p1s0f0,6182632632,6183240912
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-7d4c,rocep1s0f0,9470221004,9470744408
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-8277,roceP2p1s0f0,6184708068,6183817624
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-8277,rocep1s0f0,9475489924,9474551740
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-82e3,roceP2p1s0f0,6185362008,6186481480
p1_l70_tp4_dual_prefill_in4096_out32_c1,edgexpert-82e3,rocep1s0f0,9469609784,9470760688
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-7afa,roceP2p1s0f0,5697359764,5697360944
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-7afa,rocep1s0f0,6823906156,6823899400
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-7d4c,roceP2p1s0f0,5694316080,5694314592
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-7d4c,rocep1s0f0,6826377080,6826368832
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-8277,roceP2p1s0f0,5699458988,5699459484
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-8277,rocep1s0f0,6829513136,6829512952
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-82e3,roceP2p1s0f0,5702504340,5702504156
p1_l70_tp4_dual_prefill_in4096_out32_c8,edgexpert-82e3,rocep1s0f0,6827035272,6827050460
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-82e3,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,edgexpert-82e3,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-82e3,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,edgexpert-82e3,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-8277,rocep1s0f0,0,0
