run,collective,nodes,mode,rep,transport,size,time_us,algbw,busbw
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,262144,1429.26,0.18,0.18
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,524288,2003.65,0.26,0.26
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,1048576,4019.94,0.26,0.26
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,2097152,5672.17,0.37,0.37
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,4194304,7048.98,0.6,0.6
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,8388608,9417.24,0.89,0.89
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,16777216,16771.1,1.0,1.0
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,33554432,26171.1,1.28,1.28
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,67108864,41599.2,1.61,1.61
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,134217728,71627.1,1.87,1.87
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,268435456,134238.0,2.0,2.0
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,536870912,258080.0,2.08,2.08
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,1073741824,506619.0,2.12,2.12
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,1024,289.37,0.0,0.0
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,2048,301.29,0.01,0.01
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,4096,311.35,0.01,0.01
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,8192,314.42,0.03,0.03
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,16384,456.93,0.04,0.04
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,32768,478.89,0.07,0.07
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,65536,546.61,0.12,0.12
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,131072,756.03,0.17,0.17
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,262144,1381.47,0.19,0.19
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,524288,2046.59,0.26,0.26
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,1048576,3803.99,0.28,0.28
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,2097152,5494.98,0.38,0.38
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,4194304,6858.45,0.61,0.61
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,8388608,8300.74,1.01,1.01
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,16777216,15816.9,1.06,1.06
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,33554432,24666.4,1.36,1.36
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,67108864,38584.9,1.74,1.74
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,134217728,68337.7,1.96,1.96
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,268435456,127977.0,2.1,2.1
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,536870912,253800.0,2.12,2.12
nccl_all_reduce_perf_np2_tcp_rep3,all_reduce,2,tcp,3,Socket,1073741824,491697.0,2.18,2.18
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,1024,36.75,0.03,0.04
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,2048,47.8,0.04,0.06
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,4096,44.6,0.09,0.14
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,8192,48.25,0.17,0.25
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,16384,55.32,0.3,0.44
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,32768,51.12,0.64,0.96
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,65536,62.56,1.05,1.57
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,131072,121.66,1.08,1.62
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,262144,170.84,1.53,2.3
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,524288,566.55,0.93,1.39
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,1048576,1138.68,0.92,1.38
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,2097152,1244.94,1.68,2.53
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,4194304,1084.4,3.87,5.8
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,8388608,1178.65,7.12,10.68
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,16777216,1353.42,12.4,18.59
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,33554432,2199.55,15.26,22.88
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,67108864,4392.34,15.28,22.92
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,134217728,8915.46,15.05,22.58
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,268435456,18811.3,14.27,21.4
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,536870912,40096.0,13.39,20.08
nccl_all_reduce_perf_np4_dual_rep1,all_reduce,4,dual,1,IB,1073741824,69911.1,15.36,23.04
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,1024,36.76,0.03,0.04
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,2048,47.63,0.04,0.06
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,4096,44.05,0.09,0.14
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,8192,48.6,0.17,0.25
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,16384,52.48,0.31,0.47
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,32768,51.37,0.64,0.96
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,65536,60.97,1.07,1.61
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,131072,114.39,1.15,1.72
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,262144,164.22,1.6,2.39
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,524288,499.62,1.05,1.57
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,1048576,1169.78,0.9,1.34
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,2097152,1225.68,1.71,2.57
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,4194304,1049.01,4.0,6.0
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,8388608,1135.0,7.39,11.09
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,16777216,1320.4,12.71,19.06
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,33554432,2200.98,15.25,22.87
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,67108864,4425.77,15.16,22.74
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,134217728,8797.64,15.26,22.88
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,268435456,18984.5,14.14,21.21
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,536870912,38438.7,13.97,20.95
